Event Clearance Description,Event Clearance Date,Hundred Block Location,Longitude,Latitude,Incident Location
"DISTURBANCE, OTHER",02/19/2015 11:36:00 PM,5XX BLOCK OF MADISON ST,-122.331243557,47.606784796,"(47.606784796, -122.331243557)"
SUSPICIOUS PERSON,02/19/2015 11:28:00 AM,90XX BLOCK OF AURORA AV N,-122.344569274,47.694547964,"(47.694547964, -122.344569274)"
"VICE, OTHER",02/16/2015 09:42:00 PM,22XX BLOCK OF N 45 ST,-122.331952148,47.661377947,"(47.661377947, -122.331952148)"
PROSTITUTION,02/16/2015 06:07:00 PM,N 93 ST / AURORA AV N,-122.344594351,47.6963581,"(47.6963581, -122.344594351)"
SUSPICIOUS PERSON,02/15/2015 03:24:00 PM,AURORA AV N / N 125 ST,-122.344940802,47.719570094,"(47.719570094, -122.344940802)"
SUSPICIOUS PERSON,02/14/2015 03:50:00 PM,MYERS WY S / OLSON PL SW,-122.33484442,47.522319934,"(47.522319934, -122.33484442)"
PROSTITUTION,02/12/2015 09:24:00 PM,70XX BLOCK OF HOLLY PARK DR S,-122.28744387,47.539097093,"(47.539097093, -122.28744387)"
PROSTITUTION,02/12/2015 12:46:00 PM,15 AV S / S WINTHROP ST,-122.313375989,47.575991133,"(47.575991133, -122.313375989)"
PROSTITUTION,02/12/2015 05:07:00 AM,117XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
SUSPICIOUS VEHICLE,02/11/2015 04:40:00 PM,N 90 ST / AURORA AV N,-122.344567659,47.694184039,"(47.694184039, -122.344567659)"
MISDEMEANOR WARRANT SERVICE,02/10/2015 07:24:00 PM,90XX BLOCK OF AURORA AV N,-122.344569274,47.694547964,"(47.694547964, -122.344569274)"
PROSTITUTION,02/09/2015 06:30:00 AM,117XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,02/06/2015 11:01:00 AM,117XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,02/04/2015 10:06:00 PM,AURORA AV N / N 90 ST,-122.344567659,47.694184039,"(47.694184039, -122.344567659)"
PROSTITUTION,02/04/2015 09:46:00 PM,AURORA AV N / N 90 ST,-122.344567659,47.694184039,"(47.694184039, -122.344567659)"
PROSTITUTION,02/04/2015 09:17:00 PM,AURORA AV N / N 90 ST,-122.344567659,47.694184039,"(47.694184039, -122.344567659)"
FRAUD (INCLUDING IDENTITY THEFT),02/04/2015 07:18:00 PM,95XX BLOCK OF AURORA AV N,-122.34461233,47.698170964,"(47.698170964, -122.34461233)"
"VICE, OTHER",02/04/2015 05:03:00 PM,120XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,01/31/2015 06:35:00 PM,96XX BLOCK OF AURORA AV N,-122.344624167,47.699166567,"(47.699166567, -122.344624167)"
PROSTITUTION,01/31/2015 01:23:00 PM,N 88 ST / AURORA AV N,-122.344549919,47.692736493,"(47.692736493, -122.344549919)"
MISDEMEANOR WARRANT SERVICE,01/31/2015 06:48:00 AM,133XX BLOCK OF STONE AV N,-122.342300221,47.725511244,"(47.725511244, -122.342300221)"
PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),01/30/2015 09:02:00 PM,LINDEN AV N / N 130 ST,-122.348196325,47.723217635,"(47.723217635, -122.348196325)"
"VICE, OTHER",01/27/2015 06:53:00 PM,N 92 ST / AURORA AV N,-122.344585401,47.695631585,"(47.695631585, -122.344585401)"
"VICE, OTHER",01/26/2015 06:20:00 PM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
PROSTITUTION,01/26/2015 11:57:00 AM,14 AV S / S CLOVERDALE ST,-122.314911934,47.526439647,"(47.526439647, -122.314911934)"
PROSTITUTION,01/23/2015 12:37:00 PM,122XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,01/23/2015 06:37:00 AM,122XX BLOCK OF AURORA AV N,-122.344896099,47.717174472,"(47.717174472, -122.344896099)"
PROSTITUTION,01/22/2015 04:21:00 PM,2XX BLOCK OF DEXTER AV N,-122.342386721,47.620304005,"(47.620304005, -122.342386721)"
PROSTITUTION,01/22/2015 03:47:00 PM,2XX BLOCK OF DEXTER AV N,-122.342386721,47.620304005,"(47.620304005, -122.342386721)"
PROSTITUTION,01/22/2015 06:30:00 AM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
PROSTITUTION,01/22/2015 05:22:00 AM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
PROSTITUTION,01/22/2015 01:45:00 AM,S CHARLES ST / HIAWATHA PL S,-122.309121189,47.59443151,"(47.59443151, -122.309121189)"
PROSTITUTION,01/22/2015 12:58:00 AM,8XX BLOCK OF RAINIER AV S,-122.310948489,47.595115074,"(47.595115074, -122.310948489)"
PROSTITUTION,01/22/2015 12:31:00 AM,10 AV S / S WELLER ST,-122.319646973,47.597508091,"(47.597508091, -122.319646973)"
PROSTITUTION,01/21/2015 09:19:00 PM,10 AV S / S KING ST,-122.319646611,47.598347148,"(47.598347148, -122.319646611)"
"VICE, OTHER",01/21/2015 06:43:00 PM,125XX BLOCK OF AURORA AV N,-122.344946829,47.720481993,"(47.720481993, -122.344946829)"
GAMBLING,01/21/2015 03:47:00 PM,23 AV / E UNION ST,-122.302712121,47.612940649,"(47.612940649, -122.302712121)"
SUSPICIOUS VEHICLE,01/21/2015 02:09:00 AM,AURORA AV N / N 130 ST,-122.344977719,47.72321099,"(47.72321099, -122.344977719)"
"VICE, OTHER",01/20/2015 07:21:00 PM,96XX BLOCK OF AURORA AV N,-122.344624167,47.699166567,"(47.699166567, -122.344624167)"
